visitorId,department
01fff19e31bce3cab8796cae8f02d58c000cb207,fogao piso 4 bocas
01fff19e31bce3cab8796cae8f02d58c000cb207,eletrodomesticos
0200d8fc0f96cb8e47af64ea891e4606147c23f6,celulares e telefones
02017aaf5f3828470b898cebdac9eb8bba61519f,eletrodomesticos
02017aaf5f3828470b898cebdac9eb8bba61519f,tanquinho
02017aaf5f3828470b898cebdac9eb8bba61519f,lavadora de roupa
0207c722c3933f3ed63f478ee44397a7af71ec02,celulares e telefones
0207c722c3933f3ed63f478ee44397a7af71ec02,smartphones
020f6210cec9e71deaf1a5650acb51fa4b02b971,telefone com fio
020f6210cec9e71deaf1a5650acb51fa4b02b971,celulares e telefones
020f6210cec9e71deaf1a5650acb51fa4b02b971,telefone fixo
021ac945f1ce8d45098d55f3aef398c192341db6,eletroportateis
021ac945f1ce8d45098d55f3aef398c192341db6,batedeira
021ac945f1ce8d45098d55f3aef398c192341db6,batedeira portatil
0223d634f49310030a469efb6973a07125a56327,eletroportateis
0223d634f49310030a469efb6973a07125a56327,liquidificador
0224b985b4a2da6cdd5fe2db08066574a9eeb970,cama box
0224b985b4a2da6cdd5fe2db08066574a9eeb970,casal
0224b985b4a2da6cdd5fe2db08066574a9eeb970,colchoes
022661a8d5401beeee89bfa263816f4e777ef1cf,utilidades domesticas
0239385eed8ad5a27a40f71996715743790c212c,celulares e telefones
0247e6d985c5e91643b31b05b4608c4c234745e0,tablets
0247e6d985c5e91643b31b05b4608c4c234745e0,escolha por marca
0247e6d985c5e91643b31b05b4608c4c234745e0,multilaser
0249d3962c23f37a6a0a6a6bdcf0db8ebc70f0cb,colchoes
024f40be141846740f36b4f52adedbc8a61dcef7,eletroportateis
024f40be141846740f36b4f52adedbc8a61dcef7,batedeira
0258041641c4ad208458ae70d26ecec42cfb78ff,eletrodomesticos
0258041641c4ad208458ae70d26ecec42cfb78ff,tanquinho
0258041641c4ad208458ae70d26ecec42cfb78ff,lavadora de roupa
025a62fe82b476bda7f1106d70029b78f0d363c6,chuveiros e duchas
025a62fe82b476bda7f1106d70029b78f0d363c6,casa e ferramentas
025a62fe82b476bda7f1106d70029b78f0d363c6,casa
0265e78ff982f1396ab166da36b5af937a3089cc,notebooks
0265e78ff982f1396ab166da36b5af937a3089cc,informatica
0265e78ff982f1396ab166da36b5af937a3089cc,notebooks  ultrabooks
026c272bb0b8ffd16824a9b16b11a57096a4a0ad,freezer
026c272bb0b8ffd16824a9b16b11a57096a4a0ad,eletrodomesticos
026c272bb0b8ffd16824a9b16b11a57096a4a0ad,freezer vertical
026ea62458ed108c9bd7f9bbd7820de0a7bb1adb,lg
026ea62458ed108c9bd7f9bbd7820de0a7bb1adb,celulares e telefones
026ea62458ed108c9bd7f9bbd7820de0a7bb1adb,smartphones
027e5566c20bb7c9b1012af80ef05552da5a7783,suplementos e vitaminas
0285a65111f16741cfff35171ff3af6c378272ee,cooktop
0285a65111f16741cfff35171ff3af6c378272ee,eletrodomesticos
0285a65111f16741cfff35171ff3af6c378272ee,cooktop eletrico
028ccfec95840f595ef2a9ebdfc252e47547c5ea,utensilios para cozinha
028ccfec95840f595ef2a9ebdfc252e47547c5ea,utilidades domesticas
028ccfec95840f595ef2a9ebdfc252e47547c5ea,acessorios para cozinha
028eb80c9cac6635a002765b94572a5ac1e5be65,quarto  dormitorio
028eb80c9cac6635a002765b94572a5ac1e5be65,guardaroupas  roupeiros
028eb80c9cac6635a002765b94572a5ac1e5be65,moveis
02af3fefb0b30a44ad1df46e5429536da8909969,lencol avulso
02af3fefb0b30a44ad1df46e5429536da8909969,queen
02af3fefb0b30a44ad1df46e5429536da8909969,cama mesa e banho
02af9df608a3a7814bb98eada4f9bfab7c3062e8,eletroportateis
02af9df608a3a7814bb98eada4f9bfab7c3062e8,ferro eletrico
02bbfe0165767569242117c3404cd78845a40d41,beleza e saude
02bbfe0165767569242117c3404cd78845a40d41,aparador de pelo
02bbfe0165767569242117c3404cd78845a40d41,armazenamento
02bbfe0165767569242117c3404cd78845a40d41,acessorios de informatica
02bbfe0165767569242117c3404cd78845a40d41,pen drive
02bbfe0165767569242117c3404cd78845a40d41,cuide de sua pele
02c6d89a32d0b465cacccaa0aa939f7a06125c68,casa e ferramentas
02c6d89a32d0b465cacccaa0aa939f7a06125c68,casa
02c6d89a32d0b465cacccaa0aa939f7a06125c68,aquecedores
02d047c6563cdc77915052c90d97e433b8d32c45,celulares e telefones
02d2210d90040defb5ba0a5accb8a24a87f23db5,audio
02d2210d90040defb5ba0a5accb8a24a87f23db5,mini  micro system
02f1e2c19800292c47df57d6e553cb767be544a9,eletrodomesticos
02f1e2c19800292c47df57d6e553cb767be544a9,lavadora de roupa
0307fe73b687ae7abad3ec0e141298cb78a283f3,celulares e telefones
03165e2115b919e6e503c5124ac718405e3c4f43,outros
03165e2115b919e6e503c5124ac718405e3c4f43,home
03165e2115b919e6e503c5124ac718405e3c4f43,celulares e telefones
03165e2115b919e6e503c5124ac718405e3c4f43,smartphones
031a6cc371a6798b75f271e79e6527560fb03887,celulares e telefones
031e3693fc21d149089051b4eb56c73cd58367a1,notebooks
031e3693fc21d149089051b4eb56c73cd58367a1,informatica
031e3693fc21d149089051b4eb56c73cd58367a1,notebooks  ultrabooks
032106da4c9d7e5d4290cdbc7d8e76393a96519f,caixas bluetooth
032106da4c9d7e5d4290cdbc7d8e76393a96519f,audio
032fb0b307eb61b87f3a238bafca604ae90f3022,microondas
032fb0b307eb61b87f3a238bafca604ae90f3022,eletrodomesticos
032fb0b307eb61b87f3a238bafca604ae90f3022,microondas ate 22 litros
0331db64eeffac2576e18dce6a84d4fbbfbc7739,utilidades domesticas
0331f4914e846d064700d3f1f940914d6af13a8d,casa e ferramentas
